S.NO,Name,Nationality,Current Rank,Previous Year Rank,Sport,Year,earnings ($ million)
4,Ayrton Senna,Brazil,4,,auto racing,1990,10
5,Alain Prost,France,5,,auto racing,1990,9
8,Michael Jordan,USA,8,,basketball,1990,8.1
13,Michael Jordan,USA,3,8,basketball,1991,16
15,Ayrton Senna,Brazil,5,4,auto racing,1991,13
16,Alain Prost,France,6,5,auto racing,1991,11
19,Nigel Mansell,UK,9,12,auto racing,1991,9
21,Michael Jordan,USA,1,3,basketball,1992,35.9
23,Ayrton Senna,Brazil,3,5,Auto Racing,1992,22
24,Nigel Mansell,UK,4,9,Auto Racing,1992,14.5
31,Michael Jordan,USA,1,1,basketball,1993,36
33,Ayrton Senna,Brazil,3,3,auto racing,1993,18.5
34,Alain Prost,France,4,>40,auto Racing,1993,16
38,Cecil Fielder,USA,8,40,Baseball,1993,12.7
41,Michael Jordan,USA,1,1,Basketball,1994,30
42,Shaq O'Neal,USA,2,6,Basketball,1994,16.7
45,Gerhard Berger,Austria,5,30,Auto Racing,1994,13.5
50,Nigel Mansell,UK,10,19,Auto Racing,1994,11.3
51,Michael Jordan,USA,1,1,basketball,1995,43.9
55,Shaquille O'Neal,USA,5,2,basketball,1995,21.9
59,Michael Schumacher,Germany,9,30,auto racing,1995,15
62,Michael Jordan,USA,2,1,Basketball,1996,52.6
64,Shaquille O'Neal,USA,4,5,Basketball,1996,24.4
69,Dennis Rodman,USA,9,not ranked,Basketball,1996,12.9
70,Patrick Ewing,USA,9,19,Basketball,1996,12.9
71,Michael Jordan,USA,1,2,Basketball,1997,78.3
77,Shaquille O'Neal,USA,7,4,Basketball,1997,25.4
80,Grant Hill,USA,10,18,Basketball,1997,17
81,Michael Jordan,USA,1,,Basketball,1998,69
86,Grant Hill,USA,6,,Basketball,1998,21.6
88,Patrick Ewing,USA,8,,Basketball,1998,18.3
90,Gary Sheffield,USA,10,,Baseball,1998,17.2
91,Michael Schumacher,Germany,1,2,Auto Racing,1999,49
94,Michael Jordan,USA,4,1,Basketball,1999,40
97,Shaq O'Neal,USA,7,>10,Basketball,1999,31
99,Dale Earnhardt,USA,9,5,Auto Racing,1999,26.5
100,Grant Hill,USA,10,6,Basketball,1999,23
101,Michael Schumacher,Germany,1,1,Auto Racing,2000,59
104,Michael Jordan,USA,4,4,Basketball,2000,37
105,Grant Hill,USA,5,10,Basketball,2000,26
107,Shaq O'Neal,USA,7,7,Basketball,2000,24
110,Kevin Garnett,USA,10,>10,Basketball,2000,21
113,Michael Jordan,USA,3,4,Basketball,2002,36
115,Grant Hill,USA,5,5,Basketball,2002,24
116,Shaquille O'Neal,USA,5,7,Basketball,2002,24
118,Kevin Garnett,USA,7,10,Basketball,2002,23
119,Kobe Bryant,USA,9,>10,Basketball,2002,22
120,Jacques Villeneuve,Canada,10,>10,Auto Racing,2002,20
124,Michael Jordan,USA,3,3,Basketball,2003,35
125,Shaq O'Neal,USA,4,5,Basketball,2003,30.5
127,Kevin Garnett,USA,6,7,Basketball,2003,28
128,Alex Rodriguez,USA,7,>10,Baseball,2003,26
129,Grant Hill,USA,8,5,Basketball,2003,25.5
131,Jacques Villeneuve,Canada,10,10,Auto Racing,2003,23
135,Michael Jordan,USA,4,3,basketball,2004,35
136,Shaquille O'Neal,USA,5,4,basketball,2004,31.9
137,Kevin Garnett,USA,6,6,basketball,2004,29.7
140,Alex Rodriguez,USA,9,7,baseball,2004,26.2
141,Kobe Bryant,USA,10,>10,basketball,2004,26.1
146,Shaquille O'Neal,USA,5,5,basketball,2005,33.4
147,Michael Jordan,USA,6,4,basketball,2005,33
149,Kobe Bryant,USA,8,10,basketball,2005,28.8
156,Michael Jordan,USA,5,6,basketball,2006,32
157,Kobe Bryant,USA,6,8,basketball,2006,31
158,Shaquille O'Neal,USA,7,5,basketball,2006,30
160,Alex Rodriguez,USA,9,>10,baseball,2006,29
168,Kobe Bryant,USA,6,>10,basketball,2007,33
169,Shaquille O'Neal,USA,8,7,basketball,2007,32
171,Michael Jordan,USA,9,5,basketball,2007,31
174,Michael Jordan,USA,3,9,basketball,2008,45
177,Kobe Bryant,USA,6,7,basketball,2008,39
178,LeBron James,USA,7,>10,basketball,2008,38
183,Kobe Bryant,USA,2,6,basketball,2009,45
184,Michael Jordan,USA,2,3,basketball,2009,45
187,LeBron James,USA,6,7,basketball,2009,40
194,Kobe Bryant,USA,3,2,basketball,2010,48
198,LeBron James,USA,7,6,basketball,2010,42.8
203,Kobe Bryant,USA,2,3,basketball,2011,53
204,LeBron James,USA,3,7,basketball,2011,48
209,Alex Rodriguez,Dominican,8,12,baseball,2011,35
215,LeBron James,USA,4,3,Basketball,2012,53
217,Kobe Bryant,USA,6,2,Basketball,2012,52.3
224,Kobe Bryant,USA,3,6,Basketball,2013,61.9
225,LeBron James,USA,4,4,Basketball,2013,59.8
234,LeBron James,USA,3,4,Basketball,2014,72.3
236,Kobe Bryant,USA,5,3,Basketball,2014,61.5
247,LeBron James,USA,6,3,Basketball,2015,64.8
248,Kevin Durant,USA,7,20,Basketball,2015,54.2
251,Kobe Bryant,USA,10,5,Basketball,2015,49.5
254,LeBron James,USA,3,6,Basketball,2016,77.2
256,Kevin Durant,USA,5,7,Basketball,2016,56.2
261,Kobe Bryant,USA,10,10,Basketball,2016,50
263,LeBron James,USA,2,3,Basketball,2017,86.2
266,Kevin Durant,USA,5,5,Basketball,2017,60.6
269,Stephen Curry,USA,8,,Basketball,2017,47.3
270,James Harden,USA,9,,Basketball,2017,46.6
271,Lewis Hamilton,UK,10,,auto racing,2017,46
277,LeBron James,USA,6,2,Basketball,2018,85.5
279,Stephen Curry,USA,8,8,Basketball,2018,76.9
289,LeBron James,USA,8,6,Basketball,2019,89
290,Stephen Curry,USA,9,8,Basketball,2019,79.8
291,Kevin Durant,USA,10,11,Basketball,2019,65.4
